skill,param,class,value
Properties and Classification Prism,slips,default,0.06210407282414991
Properties and Classification Prism,forgets,default,0.0
Properties and Classification Triangles,prior,default,0.9494597730300529
Properties and Classification Triangles,learns,default,0.16808569385523664
Properties and Classification Triangles,guesses,default,0.11550355937205925
Properties and Classification Triangles,slips,default,0.21893513119517435
Properties and Classification Triangles,forgets,default,0.0
Picking Expressions From Choices,prior,default,0.813187757098968
Picking Expressions From Choices,learns,default,0.2433122715850864
Picking Expressions From Choices,guesses,default,0.2380037951974611
Picking Expressions From Choices,slips,default,0.20665462795681605
Picking Expressions From Choices,forgets,default,0.0
Properties and Classification Circle,prior,default,0.9077516680652662
Properties and Classification Circle,learns,default,0.17797020078013562
Properties and Classification Circle,guesses,default,0.641292304742758
Properties and Classification Circle,slips,default,0.08793306275246467
Properties and Classification Circle,forgets,default,0.0
Common Multiple,prior,default,0.4988204884394306
Common Multiple,learns,default,0.20941318299745462
Common Multiple,guesses,default,0.7536225331580919
Common Multiple,slips,default,0.04329739212667256
Common Multiple,forgets,default,0.0
Mode,prior,default,0.6321556122292203
Mode,learns,default,0.1524545927213742
Mode,guesses,default,0.755437013193792
Mode,slips,default,0.06655165703434364
Mode,forgets,default,0.0
Midpoint,prior,default,0.6223920127629324
Midpoint,learns,default,1.0
Midpoint,guesses,default,0.12392305361877767
Midpoint,slips,default,0.13211902496631334
Midpoint,forgets,default,0.0
Surface Area of Prism,prior,default,0.9405994252769688
Surface Area of Prism,learns,default,0.2508230432916375
Surface Area of Prism,guesses,default,0.42860910548136466
Surface Area of Prism,slips,default,0.115847779557917
Surface Area of Prism,forgets,default,0.0
Solving Inequalities,prior,default,0.46296087573294614
Solving Inequalities,learns,default,0.07703611311214664
Solving Inequalities,guesses,default,0.40937836432743735
Solving Inequalities,slips,default,0.1609111965187042
Solving Inequalities,forgets,default,0.0
Distance Formula,prior,default,0.3905990282053113
Distance Formula,learns,default,0.5057664155538069
Distance Formula,guesses,default,0.2617009355003031
Distance Formula,slips,default,0.12651986770300186
Distance Formula,forgets,default,0.0
Commutative Property,prior,default,0.9723201515169222
Commutative Property,learns,default,0.30672531561362565
Commutative Property,guesses,default,0.3987898614521356
Commutative Property,slips,default,0.16149284143145234
Commutative Property,forgets,default,0.0
Associative Property,prior,default,0.4046862426848833
Associative Property,learns,default,0.00021127300038174235
Associative Property,guesses,default,0.009622440712680395
Associative Property,slips,default,0.002790929482719968
Associative Property,forgets,default,0.0
Properties and Classification Polygons with 5 or more sides,prior,default,0.597953558952867
Properties and Classification Polygons with 5 or more sides,learns,default,0.24390559629370628
Properties and Classification Polygons with 5 or more sides,guesses,default,0.6236068026318331
Properties and Classification Polygons with 5 or more sides,slips,default,0.0624856904218758
Properties and Classification Polygons with 5 or more sides,forgets,default,0.0
Properties and Classification Rectangular Prisms,prior,default,0.9357445489615088
Properties and Classification Rectangular Prisms,learns,default,0.6418876323878202
Properties and Classification Rectangular Prisms,guesses,default,0.3037573217040322
Properties and Classification Rectangular Prisms,slips,default,0.07860628463789018
Properties and Classification Rectangular Prisms,forgets,default,0.0
"Parts of a Polyomial, Terms, Coefficient, Monomial, Exponent, Variable",prior,default,0.35173798619329416
"Parts of a Polyomial, Terms, Coefficient, Monomial, Exponent, Variable",learns,default,0.40816213961428394
"Parts of a Polyomial, Terms, Coefficient, Monomial, Exponent, Variable",guesses,default,0.7714723301014915
"Parts of a Polyomial, Terms, Coefficient, Monomial, Exponent, Variable",slips,default,0.06150148603130339
"Parts of a Polyomial, Terms, Coefficient, Monomial, Exponent, Variable",forgets,default,0.0
Reflection,prior,default,0.8888724705919153
Reflection,learns,default,0.14468677928174567
Reflection,guesses,default,0.10197235372311948
Reflection,slips,default,0.15976222329423206
Reflection,forgets,default,0.0
Translations,prior,default,0.8058959350542443
Translations,learns,default,0.9989137917583948
Translations,guesses,default,0.02702174375854056
Translations,slips,default,0.027475188443893513
Translations,forgets,default,0.0
Multiplication Positive Decimals,prior,default,0.48712921827528993
Multiplication Positive Decimals,learns,default,0.0229743501108988
Multiplication Positive Decimals,guesses,default,0.01965269092331472
Multiplication Positive Decimals,slips,default,0.36302188766695487
Multiplication Positive Decimals,forgets,default,0.0
Circumference,prior,default,0.13255571459684048
Circumference,learns,default,0.6020380029723104
Circumference,guesses,default,0.529042717451468
Circumference,slips,default,0.04685728565769398
Circumference,forgets,default,0.0
Concept Volume,prior,default,0.43969962588802736
Concept Volume,learns,default,0.001470630763889389
Concept Volume,guesses,default,0.3749242334244579
Concept Volume,slips,default,0.024220861426552897
Concept Volume,forgets,default,0.0
Multiplication Proper Fractions,prior,default,0.6251678404549579
Multiplication Proper Fractions,learns,default,0.100395163714139
Multiplication Proper Fractions,guesses,default,0.36299022530871267
Multiplication Proper Fractions,slips,default,0.16687543299788304
Multiplication Proper Fractions,forgets,default,0.0
Addition Mixed Fractions,prior,default,0.35113313145324937
Addition Mixed Fractions,learns,default,0.18560334197140216
Addition Mixed Fractions,guesses,default,0.013177627819288785
Addition Mixed Fractions,slips,default,0.41630097165156793
Addition Mixed Fractions,forgets,default,0.0
Subtraction Proper Fractions,prior,default,0.3185111111963976
Subtraction Proper Fractions,learns,default,0.0005224126823615104
Subtraction Proper Fractions,guesses,default,0.33918046184764433
Subtraction Proper Fractions,slips,default,0.04267080590065889
Subtraction Proper Fractions,forgets,default,0.0
Subtraction Mixed Fractions,prior,default,0.8107737075820357
Subtraction Mixed Fractions,learns,default,0.09166758116160795
Subtraction Mixed Fractions,guesses,default,0.031022501886604534
Subtraction Mixed Fractions,slips,default,0.5430537327745986
Subtraction Mixed Fractions,forgets,default,0.0
Circle Concept,prior,default,0.01835089176794428
Circle Concept,learns,default,0.0655070326005249
Circle Concept,guesses,default,0.35545638478007874
Circle Concept,slips,default,0.42497745613716137
Circle Concept,forgets,default,0.0
Addition Proper Fractions,prior,default,0.21073089995560268
Addition Proper Fractions,learns,default,0.29408268241736646
Addition Proper Fractions,guesses,default,0.39472066008136303
Addition Proper Fractions,slips,default,0.21106792431277593
Addition Proper Fractions,forgets,default,0.0
Division Mixed Fractions,prior,default,0.11636653946774572
Division Mixed Fractions,learns,default,0.0193144699582279
Division Mixed Fractions,guesses,default,0.09572450834843667
Division Mixed Fractions,slips,default,0.4327160032960276
Division Mixed Fractions,forgets,default,0.0
Division Proper Fractions,prior,default,0.35247093026870296
Division Proper Fractions,learns,default,0.9996467481800317
Division Proper Fractions,guesses,default,0.018096055676800133
Division Proper Fractions,slips,default,0.13534478355041552
Division Proper Fractions,forgets,default,0.0
Nets of 3D Objects,prior,default,0.44642734050607424
Nets of 3D Objects,learns,default,0.0625208838409246
Nets of 3D Objects,guesses,default,0.7509681833509586
Nets of 3D Objects,slips,default,0.05854651326162008
Nets of 3D Objects,forgets,default,0.0
Multiplication Mixed Fractions,prior,default,0.1609271050522852
Multiplication Mixed Fractions,learns,default,0.0011884933891116425
Multiplication Mixed Fractions,guesses,default,0.05627013344594903
Multiplication Mixed Fractions,slips,default,0.16703390394426615
Multiplication Mixed Fractions,forgets,default,0.0
Table,prior,default,0.6031000398922184
Table,learns,default,0.9785308871157151
Table,guesses,default,0.13127956710049138
Table,slips,default,0.024748930473268357
Table,forgets,default,0.0
Percent Discount,prior,default,0.5079153789955185
Percent Discount,learns,default,0.19633211691253014
Percent Discount,guesses,default,0.1656412783863795
Percent Discount,slips,default,0.27634898461244045
Percent Discount,forgets,default,0.0
X-Y Graph Reading,prior,default,0.2561749608229845
X-Y Graph Reading,learns,default,0.09980406420942589
X-Y Graph Reading,guesses,default,0.43857941442387993
X-Y Graph Reading,slips,default,0.11216240288456304
X-Y Graph Reading,forgets,default,0.0
Choose an Equation from Given Information,prior,default,0.40210749781340405
Choose an Equation from Given Information,learns,default,0.008807743779470419
Choose an Equation from Given Information,guesses,default,0.0904021242203092
Choose an Equation from Given Information,slips,default,0.30587302472467637
Choose an Equation from Given Information,forgets,default,0.0
Rate,prior,default,0.37886329663811086
Rate,learns,default,0.23471353016725413
Rate,guesses,default,0.4364011969657879
Rate,slips,default,0.08471064974970588
Rate,forgets,default,0.0
Symbolization,prior,default,0.6032743936958775
Symbolization,learns,default,0.1287084010240814
Symbolization,guesses,default,0.11480737438669268
Symbolization,slips,default,0.2629704301349837
Symbolization,forgets,default,0.0
Inverse Relations,prior,default,0.787128081513384
Inverse Relations,learns,default,0.9984609320186163
Inverse Relations,guesses,default,0.05597999030121827
Inverse Relations,slips,default,0.15828263142370352
Inverse Relations,forgets,default,0.0
Quadratic Equation Solving,prior,default,0.1836384280757686
Quadratic Equation Solving,learns,default,0.051181036181611954
Quadratic Equation Solving,guesses,default,0.3678683207458252
Quadratic Equation Solving,slips,default,0.015006488286715924
Quadratic Equation Solving,forgets,default,0.0
Sampling Techniques,prior,default,0.7363217610703099
Sampling Techniques,learns,default,0.01600599053591081
Sampling Techniques,guesses,default,0.058907881156670325
Sampling Techniques,slips,default,0.21499098178605447
Sampling Techniques,forgets,default,0.0
Estimation,prior,default,0.7518552385705031
Estimation,learns,default,0.1935891428423962
Estimation,guesses,default,0.3906819946137344
Estimation,slips,default,0.18742624461136603
Estimation,forgets,default,0.0
Percents,prior,default,0.47078235861150663
Percents,learns,default,0.3956747044191661
Percents,guesses,default,0.19387087488018778
Percents,slips,default,0.16300743422948907
Percents,forgets,default,0.0
Stem and Leaf Plot,prior,default,0.6004111704882306
Stem and Leaf Plot,learns,default,0.2886631985654981
Stem and Leaf Plot,guesses,default,0.33407282734989985
Stem and Leaf Plot,slips,default,0.028484269941438052
Stem and Leaf Plot,forgets,default,0.0
Circle Graph,prior,default,0.8180621967610571
Circle Graph,learns,default,0.4650157000102985
Circle Graph,guesses,default,0.6154314865292535
Circle Graph,slips,default,0.07749962431896129
Circle Graph,forgets,default,0.0
Line of Best-Fit,prior,default,0.668813145383301
Line of Best-Fit,learns,default,0.980249484750114
Line of Best-Fit,guesses,default,0.03530549213424146
Line of Best-Fit,slips,default,0.15160607130595496
Line of Best-Fit,forgets,default,0.0
Surface Area of 3D Objects,prior,default,0.49733110950276
Surface Area of 3D Objects,learns,default,0.018154861575529594
Surface Area of 3D Objects,guesses,default,0.42924276341376716
Surface Area of 3D Objects,slips,default,0.035962647499807536
Surface Area of 3D Objects,forgets,default,0.0
Pattern Finding,prior,default,0.8344802348657503
Pattern Finding,learns,default,0.4126167947569622
Pattern Finding,guesses,default,0.20411806646563946
Pattern Finding,slips,default,0.19214526911173324
Pattern Finding,forgets,default,0.0
Geometric Definitions,prior,default,0.862695636237062
Geometric Definitions,learns,default,1.0
Geometric Definitions,guesses,default,0.07880160277158353
Geometric Definitions,slips,default,0.01897840018951697
Geometric Definitions,forgets,default,0.0
Mean-Median-Mode-Range Differentiation,prior,default,0.4308709854000947
Mean-Median-Mode-Range Differentiation,learns,default,1.0
Mean-Median-Mode-Range Differentiation,guesses,default,0.2533634316007599
Mean-Median-Mode-Range Differentiation,slips,default,0.06872804415141241
Mean-Median-Mode-Range Differentiation,forgets,default,0.0
Factoring Polynomials Standard,prior,default,0.8956524081353829
Factoring Polynomials Standard,learns,default,0.8081871085769581
Factoring Polynomials Standard,guesses,default,0.6330975684429926
Factoring Polynomials Standard,slips,default,0.026076751588482404
Factoring Polynomials Standard,forgets,default,0.0
Fraction Of,prior,default,0.36263697856475674
Fraction Of,learns,default,0.514019200209831
Fraction Of,guesses,default,0.6037411630177186
Fraction Of,slips,default,0.03416647560016358
Fraction Of,forgets,default,0.0
Line Plot,prior,default,0.4128597145332228
Line Plot,learns,default,0.12297514282431914
Line Plot,guesses,default,0.43536470240970865
Line Plot,slips,default,0.05146460599397876
Line Plot,forgets,default,0.0
Solve Quadratic Equations Using Factoring,prior,default,0.17404718706760436
Solve Quadratic Equations Using Factoring,learns,default,1.0
Solve Quadratic Equations Using Factoring,guesses,default,0.8833703839140699
Solve Quadratic Equations Using Factoring,slips,default,0.021083021130213965
Solve Quadratic Equations Using Factoring,forgets,default,0.0
Square Roots,prior,default,0.7768258360027579
Square Roots,learns,default,0.9744301588719014
Square Roots,guesses,default,0.0535607394317278
Square Roots,slips,default,0.14550382771395615
Square Roots,forgets,default,0.0
Interpreting Coordinate Graphs ,prior,default,0.2801060602223136
Interpreting Coordinate Graphs ,learns,default,0.41344598614212974
Interpreting Coordinate Graphs ,guesses,default,0.6019594834745228
Interpreting Coordinate Graphs ,slips,default,0.07789532601677868
Interpreting Coordinate Graphs ,forgets,default,0.0
English and Metric Terminology,prior,default,0.4849397220055771
English and Metric Terminology,learns,default,0.37569070667727245
English and Metric Terminology,guesses,default,0.48323992873700133
English and Metric Terminology,slips,default,0.04459523219278327
English and Metric Terminology,forgets,default,0.0
Comparing and Identifying Slope/Rate of Change,prior,default,0.6396620126712794
Comparing and Identifying Slope/Rate of Change,learns,default,0.028151877317323333
Comparing and Identifying Slope/Rate of Change,guesses,default,0.5018257713447779
Comparing and Identifying Slope/Rate of Change,slips,default,0.02398200978265379
Comparing and Identifying Slope/Rate of Change,forgets,default,0.0
"Tree Diagrams, Lists for Counting",prior,default,0.7292151988929367
"Tree Diagrams, Lists for Counting",learns,default,0.7814027023794768
"Tree Diagrams, Lists for Counting",guesses,default,0.4824020423773138
"Tree Diagrams, Lists for Counting",slips,default,0.13036531968915321
"Tree Diagrams, Lists for Counting",forgets,default,0.0
Algebraic Simplification,prior,default,0.8427029151082123
Algebraic Simplification,learns,default,1.0
Algebraic Simplification,guesses,default,0.24638911368449423
Algebraic Simplification,slips,default,0.16556691340146884
Algebraic Simplification,forgets,default,0.0
Division Whole Numbers,prior,default,0.540823431172847
Division Whole Numbers,learns,default,0.339745947752182
Division Whole Numbers,guesses,default,0.41331703911836376
Division Whole Numbers,slips,default,0.07392867866387537
Division Whole Numbers,forgets,default,0.0
Multiplication Division by Powers of 10,prior,default,0.5621631633635399
Multiplication Division by Powers of 10,learns,default,0.46142880522800517
Multiplication Division by Powers of 10,guesses,default,0.03977104668656725
Multiplication Division by Powers of 10,slips,default,0.12895095299856563
Multiplication Division by Powers of 10,forgets,default,0.0
Solving System of Equation,prior,default,0.5903755266995984
Solving System of Equation,learns,default,0.11109928488218233
Solving System of Equation,guesses,default,0.028040042356247137
Solving System of Equation,slips,default,0.5018789128673747
Solving System of Equation,forgets,default,0.0
Finding Ratios,prior,default,0.9430760310206443
Finding Ratios,learns,default,0.0033366818099533927
Finding Ratios,guesses,default,0.28289795318696026
Finding Ratios,slips,default,0.1587850978727452
Finding Ratios,forgets,default,0.0
Bar Graph,prior,default,0.8771566644614247
Bar Graph,learns,default,0.9976555334529263
Bar Graph,guesses,default,0.09580881215476313
Bar Graph,slips,default,0.031158368066718588
Bar Graph,forgets,default,0.0
Graphing Inequalities on a number line,prior,default,0.6801266543903836
Graphing Inequalities on a number line,learns,default,0.09192985694609081
Graphing Inequalities on a number line,guesses,default,0.36571138301402645
Graphing Inequalities on a number line,slips,default,0.10488364418684971
Graphing Inequalities on a number line,forgets,default,0.0
Volume of 3D Objects,prior,default,0.4396434919058668
Volume of 3D Objects,learns,default,0.03364302198728351
Volume of 3D Objects,guesses,default,0.20454615768720202
Volume of 3D Objects,slips,default,0.24061712633196344
Volume of 3D Objects,forgets,default,0.0
Line Symmetry,prior,default,0.5898584030314897
Line Symmetry,learns,default,1.0
Line Symmetry,guesses,default,0.035176135306230684
Line Symmetry,slips,default,0.17679768365629314
Line Symmetry,forgets,default,0.0
Ordering Whole Numbers,prior,default,0.9178689542464044
Ordering Whole Numbers,learns,default,0.674981300551455
Ordering Whole Numbers,guesses,default,0.09700582158247083
Ordering Whole Numbers,slips,default,0.10372606880148921
Ordering Whole Numbers,forgets,default,0.0
Writine Expression from Diagrams,prior,default,0.415101984059464
Writine Expression from Diagrams,learns,default,0.5868316839931582
Writine Expression from Diagrams,guesses,default,0.633182143624198
Writine Expression from Diagrams,slips,default,0.05612289355278483
Writine Expression from Diagrams,forgets,default,0.0
Surface Area Pyramid,prior,default,0.3181665013823888
Surface Area Pyramid,learns,default,1.0
Surface Area Pyramid,guesses,default,0.19031146128167972
Surface Area Pyramid,slips,default,0.06083544999105726
Surface Area Pyramid,forgets,default,0.0
Graphing Linear Equations,prior,default,0.7878081480519037
Graphing Linear Equations,learns,default,0.635265982809319
Graphing Linear Equations,guesses,default,0.9266177853814895
Graphing Linear Equations,slips,default,0.0008487499405920304
Graphing Linear Equations,forgets,default,0.0
Elapsed Time,prior,default,0.5923629777477627
Elapsed Time,learns,default,1.0
Elapsed Time,guesses,default,0.8301657092671653
Elapsed Time,slips,default,0.02380734332233198
Elapsed Time,forgets,default,0.0
Properties and Clasification of Pyramid,prior,default,0.7131573613642999
Properties and Clasification of Pyramid,learns,default,1.0
Properties and Clasification of Pyramid,guesses,default,0.5052309624939365
Properties and Clasification of Pyramid,slips,default,0.1515502042350865
Properties and Clasification of Pyramid,forgets,default,0.0
Calculation with + - * /,prior,default,0.7197306280354215
Calculation with + - * /,learns,default,0.97116791778709
Calculation with + - * /,guesses,default,0.059142377640939214
Calculation with + - * /,slips,default,0.04038669408300976
Calculation with + - * /,forgets,default,0.0
Odd and Even Number,prior,default,0.55847714654775
Odd and Even Number,learns,default,1.0
Odd and Even Number,guesses,default,0.6883523451604427
Odd and Even Number,slips,default,0.00941413816694126
Odd and Even Number,forgets,default,0.0
Reading a Ruler or Scale,prior,default,0.41263825475966015
Reading a Ruler or Scale,learns,default,0.5129088344609857
Reading a Ruler or Scale,guesses,default,0.6172349089564715
Reading a Ruler or Scale,slips,default,0.009490734928880815
Reading a Ruler or Scale,forgets,default,0.0
